SONGS
i'm yours
Iron Man (2012 Remaster)
The Trooper - 2015 Remaster
Beetlebum - 2012 Remaster
Synchronicity II
Hysteria
Morning Glory - Remastered
Could Have Been Me
LET ME IN
In the End
Numb
IN MY MOUTH
Let the Sparks Fly
Eeeaaaooo
favorite
Cure For Me
Finish Line (feat. Adam Gontier of Saint Asonia) - Live
Crossfire
Me and the Devil
Teenagers
Anarchy In The UK
Policy of Truth
Unstoppable
Whatever It Takes
Die Young
Glad You Came
Faded
Happier
Me And My Broken Heart
Troublemaker (feat. Flo Rida)
Legends Never Die - (Remix)
Hey Brother
